canonical,aliases
USA,"United States of America; United States; U.S.A.; U.S.; USA"
UK,"United Kingdom; Great Britain; England; Scotland; Wales; U.K.; UK"
China,"People's Republic of China; P. R. China; PR China; P.R. China; China"
Hong Kong,"Hong Kong SAR; Hong Kong"
Macau,"Macao; Macau"
Taiwan,"Republic of China; R.O.C.; Taiwan"
South Korea,"Republic of Korea; South Korea; Korea"
North Korea,"DPRK; North Korea"
Japan,"Japan"
Germany,"Federal Republic of Germany; Germany; Deutschland"
France,"France"
Italy,"Italy"
Spain,"Spain"
Portugal,"Portugal"
Netherlands,"The Netherlands; Netherlands; Holland"
Belgium,"Belgium"
Switzerland,"Switzerland; Suisse; Schweiz"
Austria,"Austria"
Sweden,"Sweden"
Norway,"Norway"
Denmark,"Denmark"
Finland,"Finland"
Iceland,"Iceland"
Ireland,"Ireland"
Poland,"Poland"
Czech Republic,"Czech Republic; Czechia"
Slovakia,"Slovakia"
Hungary,"Hungary"
Romania,"Romania"
Bulgaria,"Bulgaria"
Greece,"Greece"
Croatia,"Croatia"
Slovenia,"Slovenia"
Serbia,"Serbia"
Ukraine,"Ukraine"
Belarus,"Belarus"
Russia,"Russian Federation; Russia; USSR"
Estonia,"Estonia"
Latvia,"Latvia"
Lithuania,"Lithuania"
Canada,"Canada"
Mexico,"Mexico"
Brazil,"Brazil; Brasil"
Argentina,"Argentina"
Chile,"Chile"
Colombia,"Colombia"
Peru,"Peru"
Uruguay,"Uruguay"
Venezuela,"Venezuela"
Australia,"Australia"
New Zealand,"New Zealand"
India,"India"
Pakistan,"Pakistan"
Bangladesh,"Bangladesh"
Sri Lanka,"Sri Lanka"
Singapore,"Singapore"
Malaysia,"Malaysia"
Thailand,"Thailand"
Vietnam,"Viet Nam; Vietnam"
Indonesia,"Indonesia"
Philippines,"Philippines"
Israel,"Israel"
Turkey,"Turkey; Turkiye"
Iran,"Islamic Republic of Iran; Iran"
Saudi Arabia,"Saudi Arabia"
United Arab Emirates,"United Arab Emirates; UAE"
Qatar,"Qatar"
Egypt,"Egypt"
South Africa,"South Africa"
Morocco,"Morocco"
Tunisia,"Tunisia"
